country,paper_production_kt,data_year
Germany,19191.23,
Sweden,8069.0,
Italy,7978.95,
Finland,6730.0,
Spain,6561.47,
France,6558.0,
Poland,4910.0,
Austria,4432.52,
Netherlands,2222.0,2023
Portugal,1877.0,
Belgium,1359.64,
Switzerland,1168.15,2020
Hungary,1076.36,
Norway,1010.0,2021
Slovakia,905.3,
Czechia,887.0,
Romania,635.7,2022
Slovenia,579.0,
Denmark,481.52,2016
Greece,470.29,2023
Croatia,366.26,
Bulgaria,270.22,2023
Lithuania,141.3,
Ireland,60.0,2017
Estonia,49.33,
Latvia,42.92,
Iceland,0.0,2022
Malta,0.0,
Cyprus,0.0,
